,Compound,Date,Negative,Neutral,Positive,Tweets Ago
73,-0.1531,Mon Oct 22 18:08:16 +0000 2018,0.118,0.882,0.0,74
74,0.5228,Mon Oct 22 18:00:32 +0000 2018,0.0,0.834,0.166,75
75,-0.3818,Mon Oct 22 17:55:39 +0000 2018,0.14,0.86,0.0,76
76,-0.2878,Mon Oct 22 17:51:47 +0000 2018,0.156,0.742,0.102,77
77,0.0,Mon Oct 22 17:37:06 +0000 2018,0.0,1.0,0.0,78
78,-0.25,Mon Oct 22 17:34:58 +0000 2018,0.222,0.635,0.143,79
79,0.0,Mon Oct 22 17:28:24 +0000 2018,0.0,1.0,0.0,80
80,-0.3612,Mon Oct 22 17:25:27 +0000 2018,0.212,0.788,0.0,81
81,0.4404,Mon Oct 22 17:20:00 +0000 2018,0.0,0.83,0.17,82
82,0.0,Mon Oct 22 17:19:55 +0000 2018,0.0,1.0,0.0,83
83,0.2732,Mon Oct 22 17:14:51 +0000 2018,0.0,0.87,0.13,84
84,0.6249,Mon Oct 22 17:05:00 +0000 2018,0.0,0.83,0.17,85
85,0.0,Mon Oct 22 17:00:00 +0000 2018,0.0,1.0,0.0,86
86,0.0,Mon Oct 22 16:58:00 +0000 2018,0.0,1.0,0.0,87
87,0.0,Mon Oct 22 16:55:00 +0000 2018,0.0,1.0,0.0,88
88,0.0,Mon Oct 22 16:52:36 +0000 2018,0.0,1.0,0.0,89
89,0.0,Mon Oct 22 16:50:00 +0000 2018,0.0,1.0,0.0,90
90,-0.9274,Mon Oct 22 16:44:57 +0000 2018,0.511,0.489,0.0,91
91,0.0,Mon Oct 22 16:30:48 +0000 2018,0.0,1.0,0.0,92
92,-0.3182,Mon Oct 22 16:30:00 +0000 2018,0.141,0.859,0.0,93
93,0.0,Mon Oct 22 16:25:24 +0000 2018,0.0,1.0,0.0,94
94,0.7391,Mon Oct 22 16:25:00 +0000 2018,0.065,0.654,0.28,95
95,0.0,Mon Oct 22 16:22:53 +0000 2018,0.0,1.0,0.0,96
96,0.0,Mon Oct 22 16:22:25 +0000 2018,0.0,1.0,0.0,97
97,0.0,Mon Oct 22 16:22:21 +0000 2018,0.0,1.0,0.0,98
98,0.4404,Mon Oct 22 16:20:00 +0000 2018,0.0,0.838,0.162,99
99,-0.34,Mon Oct 22 16:15:00 +0000 2018,0.179,0.821,0.0,100
