,Compound,Date,Negative,Neutral,Positive,Tweets Ago
73,0.0,Mon Oct 22 09:54:08 +0000 2018,0.0,1.0,0.0,74
74,0.0,Mon Oct 22 09:48:03 +0000 2018,0.0,1.0,0.0,75
75,0.7783,Mon Oct 22 09:33:03 +0000 2018,0.0,0.507,0.493,76
76,-0.5423,Mon Oct 22 09:18:03 +0000 2018,0.431,0.387,0.182,77
77,-0.7579,Mon Oct 22 09:10:06 +0000 2018,0.481,0.519,0.0,78
78,0.0,Mon Oct 22 09:03:05 +0000 2018,0.0,1.0,0.0,79
79,0.0,Mon Oct 22 08:48:03 +0000 2018,0.0,1.0,0.0,80
80,0.296,Mon Oct 22 08:33:03 +0000 2018,0.0,0.845,0.155,81
81,0.25,Mon Oct 22 08:18:03 +0000 2018,0.0,0.846,0.154,82
82,-0.6369,Mon Oct 22 08:03:03 +0000 2018,0.321,0.679,0.0,83
83,-0.6369,Mon Oct 22 07:48:03 +0000 2018,0.318,0.682,0.0,84
84,-0.7184,Mon Oct 22 07:33:03 +0000 2018,0.375,0.625,0.0,85
85,0.0,Mon Oct 22 07:18:03 +0000 2018,0.0,1.0,0.0,86
86,-0.7845,Mon Oct 22 07:03:03 +0000 2018,0.53,0.47,0.0,87
87,-0.34,Mon Oct 22 06:48:03 +0000 2018,0.194,0.806,0.0,88
88,-0.34,Mon Oct 22 06:33:03 +0000 2018,0.167,0.833,0.0,89
89,0.0,Mon Oct 22 06:18:03 +0000 2018,0.0,1.0,0.0,90
90,-0.3612,Mon Oct 22 06:03:04 +0000 2018,0.217,0.783,0.0,91
91,-0.4588,Mon Oct 22 05:48:03 +0000 2018,0.176,0.824,0.0,92
92,-0.8225,Mon Oct 22 05:46:07 +0000 2018,0.487,0.513,0.0,93
93,-0.4215,Mon Oct 22 05:33:03 +0000 2018,0.167,0.833,0.0,94
94,0.0,Mon Oct 22 05:18:04 +0000 2018,0.0,1.0,0.0,95
95,0.4019,Mon Oct 22 05:03:03 +0000 2018,0.0,0.863,0.137,96
96,-0.128,Mon Oct 22 04:48:02 +0000 2018,0.147,0.733,0.12,97
97,0.0,Mon Oct 22 04:33:03 +0000 2018,0.0,1.0,0.0,98
98,0.25,Mon Oct 22 04:18:04 +0000 2018,0.0,0.846,0.154,99
99,0.0,Mon Oct 22 04:03:04 +0000 2018,0.0,1.0,0.0,100
