,Compound,Date,Negative,Neutral,Positive,Tweets Ago
73,-0.0772,Mon Oct 22 12:44:05 +0000 2018,0.12,0.773,0.107,74
74,0.0,Mon Oct 22 12:31:05 +0000 2018,0.0,1.0,0.0,75
75,0.0,Mon Oct 22 12:21:02 +0000 2018,0.0,1.0,0.0,76
76,0.3612,Mon Oct 22 12:11:06 +0000 2018,0.0,0.884,0.116,77
77,-0.25,Mon Oct 22 12:00:09 +0000 2018,0.1,0.9,0.0,78
78,-0.5106,Mon Oct 22 11:45:06 +0000 2018,0.185,0.815,0.0,79
79,0.0,Mon Oct 22 11:31:02 +0000 2018,0.0,1.0,0.0,80
80,0.2732,Mon Oct 22 11:16:19 +0000 2018,0.0,0.92,0.08,81
81,0.0,Mon Oct 22 11:00:01 +0000 2018,0.0,1.0,0.0,82
82,-0.5574,Mon Oct 22 10:45:02 +0000 2018,0.175,0.825,0.0,83
83,0.8979,Mon Oct 22 10:30:05 +0000 2018,0.0,0.52,0.48,84
84,0.0,Mon Oct 22 10:15:02 +0000 2018,0.0,1.0,0.0,85
85,0.0,Mon Oct 22 10:00:07 +0000 2018,0.0,1.0,0.0,86
86,-0.5994,Mon Oct 22 09:44:03 +0000 2018,0.224,0.776,0.0,87
87,0.0,Mon Oct 22 09:30:07 +0000 2018,0.0,1.0,0.0,88
88,0.6124,Mon Oct 22 09:15:05 +0000 2018,0.0,0.773,0.227,89
89,-0.8885,Mon Oct 22 09:00:20 +0000 2018,0.412,0.588,0.0,90
90,-0.5994,Mon Oct 22 08:45:06 +0000 2018,0.29,0.71,0.0,91
91,-0.0258,Mon Oct 22 08:30:10 +0000 2018,0.061,0.939,0.0,92
92,0.0,Mon Oct 22 08:15:04 +0000 2018,0.0,1.0,0.0,93
93,-0.296,Mon Oct 22 08:00:15 +0000 2018,0.109,0.891,0.0,94
94,-0.34,Mon Oct 22 07:45:04 +0000 2018,0.112,0.888,0.0,95
95,0.4215,Mon Oct 22 07:30:07 +0000 2018,0.0,0.865,0.135,96
96,-0.7096,Mon Oct 22 07:15:04 +0000 2018,0.301,0.699,0.0,97
97,-0.25,Mon Oct 22 07:00:12 +0000 2018,0.1,0.9,0.0,98
98,-0.4019,Mon Oct 22 06:45:06 +0000 2018,0.13,0.87,0.0,99
99,-0.6486,Mon Oct 22 06:30:12 +0000 2018,0.177,0.823,0.0,100
